file,codec,size,enc_ms,dec_ms,ok
chat.txt,utf8,80,0.0,0.0,True
chat.txt,gzip,94,0.10672200005501509,0.0349679999089858,True
chat.txt,brotli,72,1.0812069999701635,0.015886999790382106,True
chat.txt,atc_bitpack,222,0.24352799982807483,0.10636299975885777,True
chat.txt,atc_arith,139,0.6607330001315859,0.7858879998821067,True
code.txt,utf8,62,0.0,0.0,True
code.txt,gzip,82,0.03838799966615625,0.027198000225325814,True
code.txt,brotli,66,0.595845999669109,0.007018999895080924,True
code.txt,atc_bitpack,202,0.2248750001854205,0.14371499992194003,True
code.txt,atc_arith,131,0.5676780001522275,0.6091769996601215,True
english.txt,utf8,94,0.0,0.0,True
english.txt,gzip,103,0.03407900021556998,0.017237999600183684,True
english.txt,brotli,75,0.46688000020367326,0.012699999842880061,True
english.txt,atc_bitpack,245,0.14973299994380795,0.14329500027088216,True
english.txt,atc_arith,154,0.8157160000337171,0.8787149999989197,True
paragraph.txt,utf8,219,0.0,0.0,True
paragraph.txt,gzip,173,0.031215000035444973,0.022810000245954143,True
paragraph.txt,brotli,129,0.6728379999003664,0.014944000213290565,True
paragraph.txt,atc_bitpack,388,0.28756399979101843,0.21164800000406103,True
paragraph.txt,atc_arith,243,1.7621929996494146,1.8882509998547903,True
short.txt,utf8,24,0.0,0.0,True
short.txt,gzip,44,0.020808000044780783,0.014737000128661748,True
short.txt,brotli,28,0.41480699974272284,0.005120999958307948,True
short.txt,atc_bitpack,149,0.07345399990299484,0.03587099990909337,True
short.txt,atc_arith,90,0.22404499986805604,0.2295539998158347,True
