file,codec,size,enc_ms,dec_ms,ok
chat.txt,utf8,80,0.0,0.0,True
chat.txt,gzip,94,0.10128899998562702,0.04373399997348315,True
chat.txt,brotli,72,1.0596059998988494,0.27979200012850924,True
chat.txt,atc,222,0.21941800014246837,0.1176799999029754,True
code.txt,utf8,62,0.0,0.0,True
code.txt,gzip,82,0.039135999941208865,0.01759500014486548,True
code.txt,brotli,66,0.6170829999518901,0.006686000006084214,True
code.txt,atc,202,0.13793699986308638,0.0781690000621893,True
english.txt,utf8,94,0.0,0.0,True
english.txt,gzip,103,0.029414999971777434,0.018409000176689005,True
english.txt,brotli,75,0.47840899992479535,0.012419999848134466,True
english.txt,atc,245,0.18551700009084016,0.10081499999614607,True
paragraph.txt,utf8,219,0.0,0.0,True
paragraph.txt,gzip,173,0.025479999976596446,0.020055000049978844,True
paragraph.txt,brotli,129,0.6871900000078313,0.014307000128610525,True
paragraph.txt,atc,388,0.28782300000784744,0.20754999991368095,True
short.txt,utf8,24,0.0,0.0,True
short.txt,gzip,44,0.01590299984854937,0.017505999949207762,True
short.txt,brotli,28,0.4094969999641762,0.005379999947763281,True
short.txt,atc,149,0.09200800013786647,0.03758999991987366,True
